rating,review_count,isbn,booktype,author,year,genres,dir,rating_count,name
4.4,136455,0439023483,good_reads:book,Suzanne Collins,2008,young-adult|science-fiction|dystopia|fantasy|science-fiction|romance|adventure|book-club|young-adult|teen|apocalyptic|post-apocalyptic|action,dir01/2767052-the-hunger-games.html,136455,"The Hunger Games (The Hunger Games, #1)"
4.41,16648,0439358078,good_reads:book,J K Rowling,2003,fantasy|young-adult|fiction|fantasy|magic|childrens|adventure|science-fiction-fantasy,dir01/2.Harry_Potter_and_the_Order_of_the_Phoenix.html,16648,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
3.56,85746,0316015849,good_reads:book,Stephenie Meyer,2005,young-adult|fantasy|romance|paranormal|vampires|fiction|fantasy|paranormal|romance|paranormal-romance|fantasy|supernatural|young-adult|teen|fantasy|urban-fantasy,dir01/41865.Twilight.html,85746,"Twilight (Twilight, #1)"
4.23,47906,0061120081,good_reads:book,Harper Lee,1960,classics|fiction|historical-fiction|academic|school|literature|young-adult|academic|read-for-school|novels|book-club|young-adult|high-school,dir01/2657.To_Kill_a_Mockingbird.html,47906,To Kill a Mockingbird
4.23,34772,0679783261,good_reads:book,Jane Austen,1813,classics|fiction|romance|historical-fiction|literature|novels|european-literature|british-literature|classics|classic-literature|adult|academic|school,dir01/1885.Pride_and_Prejudice.html,34772,Pride and Prejudice
4.25,12363,0446675539,good_reads:book,Margaret Mitchell,1936,classics|historical-fiction|fiction|romance|literature|romance|historical-romance|war|military-history|civil-war,dir01/18405.Gone_with_the_Wind.html,12363,Gone with the Wind
4.22,7205,0066238501,good_reads:book,C S Lewis,1949,classics|young-adult|childrens|christian|adventure|science-fiction-fantasy|fantasy|religion|fantasy|magic|literature,dir01/11127.The_Chronicles_of_Narnia.html,7205,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
4.38,10902,0060256656,good_reads:book,Shel Silverstein,1964,childrens|young-adult|childrens|picture-books|fantasy|inspirational|classics|academic|school|philosophy|childrens|juvenile|short-stories,dir01/370493.The_Giving_Tree.html,10902,The Giving Tree
3.79,20670,0452284244,good_reads:book,George Orwell,1945,classics|fiction|science-fiction|dystopia|literature|fantasy|academic|school|politics|science-fiction|academic|read-for-school|novels,dir01/7613.Animal_Farm.html,20670,Animal Farm
4.18,12302,0345391802,good_reads:book,Douglas Adams,1979,science-fiction|humor|fantasy|classics|humor|comedy|science-fiction-fantasy|humor|funny,dir01/11.The_Hitchhiker_s_Guide_to_the_Galaxy.html,12302,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
4.03,20937,0739326228,good_reads:book,Arthur Golden,1997,fiction|historical-fiction|romance|cultural|japan|classics|book-club|adult|contemporary|adult-fiction|novels,dir01/930.Memoirs_of_a_Geisha.html,20937,Memoirs of a Geisha
3.72,34959,0307277674,good_reads:book,Dan Brown,2003,mystery|thriller|suspense|historical-fiction|adventure|thriller|mystery-thriller|novels|adult|mystery|crime|adult-fiction,dir01/968.The_Da_Vinci_Code.html,34959,"The Da Vinci Code (Robert Langdon, #2)"
4.36,69524,0375831002,good_reads:book,Markus Zusak,2005,historical-fiction|young-adult|fiction|book-club|world-war-ii|holocaust|war|history|world-war-ii|classics|young-adult|teen|fantasy,dir01/19063.The_Book_Thief.html,69524,The Book Thief
4.05,5516,0451527747,good_reads:book,Lewis Carroll,1865,classics|childrens|young-adult|literature|adventure|novels|european-literature|british-literature|literature|19th-century|classics|classic-literature|childrens|juvenile,dir01/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass.html,5516,Alice's Adventures in Wonderland & Through the Looking-Glass
3.72,10156,0743477111,good_reads:book,William Shakespeare,1597,classics|plays|fiction|romance|academic|school|drama|literature|academic|read-for-school|young-adult|high-school,dir01/18135.Romeo_and_Juliet.html,10156,Romeo and Juliet
4.09,10082,0451525264,good_reads:book,Victor Hugo,1862,classics|historical-fiction|literature|cultural|france|novels|romance|european-literature|french-literature|classics|classic-literature|literature|19th-century|drama,dir01/24280.Les_Mis_rables.html,10082,Les Mis̩rables
3.92,38061,,good_reads:book,Audrey Niffenegger,2003,fiction|romance|fantasy|science-fiction|time-travel|science-fiction|book-club|contemporary|womens-fiction|chick-lit|adult|adult-fiction,dir01/18619684-the-time-traveler-s-wife.html,38061,The Time Traveler's Wife
4.58,1314,0345538374,good_reads:book,J R R Tolkien,1973,fantasy|classics|science-fiction-fantasy|adventure|fantasy|epic-fantasy|literature|young-adult|epic|fantasy|high-fantasy|novels,dir01/30.J_R_R_Tolkien_4_Book_Boxed_Set.html,1314,J.R.R. Tolkien 4-Book Boxed Set
3.6,18039,0140283331,good_reads:book,William Golding,1954,classics|academic|school|literature|science-fiction|dystopia|academic|read-for-school|novels|young-adult|adventure|young-adult|high-school|horror,dir01/7624.Lord_of_the_Flies.html,18039,Lord of the Flies
4.28,30815,0812550706,good_reads:book,Orson Scott Card,1985,science-fiction|young-adult|fantasy|classics|science-fiction|dystopia|book-club|science-fiction-fantasy|war|adventure|novels,dir01/375802.Ender_s_Game.html,30815,"Ender's Game (The Ender Quintet, #1)"
4.02,11942,0375751513,good_reads:book,Oscar Wilde,1890,classics|fiction|horror|literature|fantasy|gothic|novels|literature|19th-century|book-club|european-literature|british-literature,dir01/5297.The_Picture_of_Dorian_Gray.html,11942,The Picture of Dorian Gray
4.14,8681,0143058142,good_reads:book,Fyodor Dostoyevsky,1866,classics|cultural|russia|literature|literature|russian-literature|mystery|crime|philosophy|academic|school|literature|19th-century|novels|classics|classic-literature,dir01/7144.Crime_and_Punishment.html,8681,Crime and Punishment
4.11,8897,0064410935,good_reads:book,E B White,1952,childrens|fiction|classics|young-adult|animals|childrens|juvenile|fantasy|academic|school|childrens|middle-grade|childrens|chapter-books,dir01/24178.Charlotte_s_Web.html,8897,Charlotte's Web
4.2,8678,0451528824,good_reads:book,L M Montgomery,1908,fiction|young-adult|classics|childrens|historical-fiction|cultural|canada|literature|childrens|juvenile|romance|young-adult|coming-of-age,dir01/8127.Anne_of_Green_Gables.html,8678,"Anne of Green Gables (Anne of Green Gables, #1)"
3.75,36955,0061122416,good_reads:book,Paulo Coelho,1988,fiction|classics|fantasy|philosophy|book-club|novels|spirituality|literature|inspirational|adventure,dir01/865.The_Alchemist.html,36955,The Alchemist
3.94,18581,0007491565,good_reads:book,Ray Bradbury,1953,classics|fiction|science-fiction|science-fiction|dystopia|literature|academic|school|fantasy|science-fiction-fantasy,dir01/17470674-fahrenheit-451.html,18581,Fahrenheit 451
4.43,112279,0525478817,good_reads:book,John Green,2012,young-adult|book-club|drama,dir01/11870085-the-fault-in-our-stars.html,112279,The Fault in Our Stars
3.79,15833,0142000671,good_reads:book,John Steinbeck,1937,fiction|classics|academic|school|literature|historical-fiction|academic|read-for-school|novels|young-adult|high-school|literature|american|classics|classic-literature,dir01/890.Of_Mice_and_Men.html,15833,Of Mice and Men
4.04,13214,0440498058,good_reads:book,Madeleine L Engle,1962,fantasy|young-adult|classics|science-fiction|childrens|science-fiction-fantasy|science-fiction|time-travel|adventure|childrens|middle-grade|childrens|juvenile,dir01/18131.A_Wrinkle_in_Time.html,13214,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
3.94,11736,0393970124,good_reads:book,Bram Stoker,1897,classics|horror|fiction|fantasy|paranormal|vampires|gothic|literature|fantasy|paranormal|fantasy|supernatural|novels,dir01/17245.Dracula.html,11736,Dracula
4.24,10614,0345418263,good_reads:book,William Goldman,1973,fantasy|classics|romance|humor|young-adult|adventure|science-fiction-fantasy|fantasy|fairy-tales|humor|comedy|book-club,dir01/21787.The_Princess_Bride.html,10614,The Princess Bride
